countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
Mauritania,215,39,120,56,12,35,23,27,85,33,53,17,23,13,158,335,47,63,Team_with_Fifa_Rank( 90--179)

Western Australia,29,9,17,3,0,0,0,9,17,3,0,0,0,0,55,69,0,0,Team_with_Fifa_Rank( 180--269)

Eswatini,232,46,118,68,22,58,33,24,60,35,47,10,19,18,191,396,47,70,Team_with_Fifa_Rank( 180--269)

Botswana,281,75,122,84,42,50,46,33,72,38,54,16,25,13,229,356,52,61,Team_with_Fifa_Rank( 90--179)

Qatar,540,224,188,128,77,73,50,147,115,78,85,44,29,12,775,634,154,91,Team_with_Fifa_Rank( 1--89)

Lesotho,250,45,125,80,18,56,37,27,69,43,50,10,20,20,203,393,45,65,Team_with_Fifa_Rank( 90--179)

Bahamas,38,11,21,6,1,4,0,10,17,6,12,4,6,2,48,116,17,29,Team_with_Fifa_Rank( 180--269)

Brunei,73,10,58,5,1,6,0,9,52,5,16,4,11,1,55,255,18,42,Team_with_Fifa_Rank( 90--179)

Cook Islands,43,9,30,4,1,0,2,8,30,2,3,2,1,0,38,231,4,2,Team_with_Fifa_Rank( 180--269)

Yemen DPR,24,5,16,3,5,11,1,0,5,2,0,0,0,0,25,68,0,0,Team_with_Fifa_Rank( 180--269)

United Arab Emirates,527,212,185,130,73,68,58,139,117,72,72,35,22,15,750,660,125,71,Team_with_Fifa_Rank( 1--89)

Faroe Islands,235,43,165,27,17,36,7,26,129,20,47,10,27,10,194,570,36,91,Team_with_Fifa_Rank( 90--179)

Nepal,182,39,112,31,13,23,10,26,89,21,38,8,18,12,149,433,28,53,Team_with_Fifa_Rank( 90--179)

Antigua and Barbuda,198,63,96,39,21,26,14,42,70,25,24,11,11,2,279,351,36,50,Team_with_Fifa_Rank( 90--179)

Bangladesh,213,51,116,46,14,14,15,37,102,31,43,11,22,10,185,426,34,85,Team_with_Fifa_Rank( 90--179)

Seychelles,113,13,82,18,8,16,5,5,66,13,36,1,27,8,76,245,16,85,Team_with_Fifa_Rank( 180--269)

Oman,453,168,171,114,83,58,56,85,113,58,66,31,18,17,585,566,97,67,Team_with_Fifa_Rank( 1--89)

Equatorial Guinea,132,30,73,29,10,15,12,20,58,17,43,10,22,11,110,210,37,54,Team_with_Fifa_Rank( 90--179)

Mozambique,307,99,132,76,37,49,28,62,83,48,45,17,19,9,323,394,48,57,Team_with_Fifa_Rank( 90--179)

Guam,99,23,67,9,8,6,3,15,61,6,23,4,16,3,122,478,19,50,Team_with_Fifa_Rank( 180--269)

